date,temperature_forecast
2025-04-14,-0.19183138417892345
2025-04-15,-0.20321640354995024
2025-04-16,-0.20782222159508926
2025-04-17,-0.20318632827551428
2025-04-18,-0.2078421962071425
2025-04-19,-0.20510702686035254
2025-04-20,-0.18056687494554355
2025-04-21,-0.18537934368877157
2025-04-22,-0.17385001973203754
2025-04-23,-0.18514331146499424
2025-04-24,-0.1688140892593793
2025-04-25,-0.18203656497515427
2025-04-26,-0.19179519533285186
2025-04-27,-0.20318021470387865
2025-04-28,-0.20778603274901766
2025-04-29,-0.20315013942944268
2025-04-30,-0.20780600736107088
2025-05-01,-0.20507083801428094
2025-05-02,-0.18053068609947195
2025-05-03,-0.18534315484269995
2025-05-04,-0.17381383088596594
2025-05-05,-0.18510712261892265
2025-05-06,-0.16877790041330767
